invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,invoice_year,invoice_month,invoice_day,day_of_week,is_weekend,unit_price,age_group,quantity_band,price_deviation_from_category
I964952,C232396,Female,31,Food & Beverage,3,15.69,Credit Card,12/6/2021 0:00,Metropol AVM,2021,12,6,0,0,5.23,26_35,small,-8.88E-16
I165562,C121588,Male,41,Clothing,4,1200.32,Cash,2/22/2022 0:00,Mall of Istanbul,2022,2,22,1,0,300.08,36_45,bulk,0
I291298,C164085,Male,44,Food & Beverage,5,26.15,Credit Card,8/29/2021 0:00,Mall of Istanbul,2021,8,29,6,1,5.23,36_45,bulk,-8.88E-16
I287848,C623250,Male,44,Clothing,2,600.16,Credit Card,2/6/2023 0:00,Metrocity,2023,2,6,0,0,300.08,36_45,small,0
I339410,C164134,Male,26,Souvenir,5,58.65,Debit Card,4/25/2021 0:00,Metrocity,2021,4,25,6,1,11.73,26_35,bulk,0
I147808,C213062,Male,56,Shoes,1,600.17,Credit Card,4/29/2022 0:00,Mall of Istanbul,2022,4,29,4,0,600.17,56_plus,single,0
I477945,C279088,Male,66,Clothing,5,1500.4,Cash,6/15/2021 0:00,Viaport Outlet,2021,6,15,1,0,300.08000000000004,56_plus,bulk,5.684341886080804e-14
I228061,C222300,Female,61,Clothing,1,300.08,Debit Card,7/17/2021 0:00,Kanyon,2021,7,17,5,1,300.08,56_plus,single,0
I296856,C309741,Male,37,Toys,2,71.68,Cash,9/5/2022 0:00,Kanyon,2022,9,5,0,0,35.84,36_45,small,0
I304507,C142855,Male,26,Clothing,4,1200.32,Credit Card,10/10/2021 0:00,Metrocity,2021,10,10,6,1,300.08,26_35,bulk,0
I127143,C292377,Female,33,Clothing,3,900.24,Cash,6/5/2021 0:00,Metrocity,2021,6,5,5,1,300.08,26_35,small,0
I291832,C693724,Female,28,Cosmetics,3,121.98,Credit Card,9/15/2022 0:00,Kanyon,2022,9,15,3,0,40.66,26_35,small,7.105427357601002e-15
I308429,C496005,Female,58,Toys,4,143.36,Debit Card,6/30/2022 0:00,Metrocity,2022,6,30,3,0,35.84,56_plus,bulk,0
I165934,C870368,Female,68,Cosmetics,4,162.64,Cash,10/6/2022 0:00,Mall of Istanbul,2022,10,6,3,0,40.66,56_plus,bulk,0
I201450,C113964,Female,40,Shoes,4,2400.68,Cash,11/5/2021 0:00,Metropol AVM,2021,11,5,4,0,600.17,36_45,bulk,0
I514477,C166250,Female,45,Technology,4,4200,Debit Card,4/6/2021 0:00,Viaport Outlet,2021,4,6,1,0,1050,36_45,bulk,0
I309349,C678864,Male,23,Clothing,5,1500.4,Credit Card,3/18/2021 0:00,Mall of Istanbul,2021,3,18,3,0,300.08000000000004,18_25,bulk,5.684341886080804e-14
I326046,C324270,Male,56,Clothing,4,1200.32,Credit Card,6/2/2022 0:00,Viaport Outlet,2022,6,2,3,0,300.08,56_plus,bulk,0
I508845,C313243,Male,34,Shoes,4,2400.68,Cash,3/20/2021 0:00,Mall of Istanbul,2021,3,20,5,1,600.17,26_35,bulk,0
I227248,C203276,Male,46,Clothing,1,300.08,Debit Card,12/14/2022 0:00,Kanyon,2022,12,14,2,0,300.08,46_55,single,0
I529831,C617099,Female,22,Technology,5,5250,Debit Card,7/12/2022 0:00,Mall of Istanbul,2022,7,12,1,0,1050,18_25,bulk,0
I132413,C159377,Female,62,Shoes,1,600.17,Credit Card,8/17/2022 0:00,Metrocity,2022,8,17,2,0,600.17,56_plus,single,0
I312923,C282726,Male,18,Books,2,30.3,Cash,12/5/2021 0:00,Metropol AVM,2021,12,5,6,1,15.15,18_25,small,0
I784788,C101316,Male,24,Clothing,4,1200.32,Cash,9/17/2021 0:00,Metrocity,2021,9,17,4,0,300.08,18_25,bulk,0
I178565,C104093,Female,66,Food & Beverage,4,20.92,Credit Card,6/7/2021 0:00,Kanyon,2021,6,7,0,0,5.23,56_plus,bulk,0
I223873,C190844,Female,69,Clothing,5,1500.4,Cash,2/4/2023 0:00,Metrocity,2023,2,4,5,1,300.08000000000004,56_plus,bulk,5.684341886080804e-14
I264076,C121975,Male,23,Food & Beverage,2,10.46,Debit Card,1/10/2021 0:00,Metropol AVM,2021,1,10,6,1,5.23,18_25,small,0
I215529,C217076,Female,53,Cosmetics,2,81.32,Cash,1/24/2021 0:00,Viaport Outlet,2021,1,24,6,1,40.66,46_55,small,0
I257623,C434811,Male,31,Shoes,3,1800.51,Credit Card,1/13/2023 0:00,Mall of Istanbul,2023,1,13,4,0,600.17,26_35,small,0
I519508,C328036,Female,62,Cosmetics,3,121.98,Credit Card,8/29/2021 0:00,Metrocity,2021,8,29,6,1,40.66,56_plus,small,7.105427357601002e-15
I173098,C312001,Male,51,Toys,5,179.2,Cash,7/18/2021 0:00,Metropol AVM,2021,7,18,6,1,35.84,46_55,bulk,-7.11E-15
I232117,C336156,Female,39,Shoes,1,600.17,Credit Card,8/22/2022 0:00,Kanyon,2022,8,22,0,0,600.17,36_45,single,0
I349401,C154476,Male,60,Cosmetics,3,121.98,Debit Card,8/21/2021 0:00,Viaport Outlet,2021,8,21,5,1,40.66,56_plus,small,7.105427357601002e-15
I240052,C192671,Female,39,Technology,4,4200,Cash,7/13/2022 0:00,Istinye Park,2022,7,13,2,0,1050,36_45,bulk,0
I928261,C299421,Female,30,Shoes,4,2400.68,Credit Card,3/2/2021 0:00,Metropol AVM,2021,3,2,1,0,600.17,26_35,bulk,0
I203026,C227713,Male,38,Shoes,4,2400.68,Debit Card,5/31/2021 0:00,Mall of Istanbul,2021,5,31,0,0,600.17,36_45,bulk,0
I163924,C252474,Female,63,Souvenir,4,46.92,Cash,10/22/2021 0:00,Forum Istanbul,2021,10,22,4,0,11.73,56_plus,bulk,0
I495092,C186476,Male,28,Books,4,60.6,Cash,4/21/2021 0:00,Forum Istanbul,2021,4,21,2,0,15.15,26_35,bulk,0
I336078,C305667,Female,64,Clothing,5,1500.4,Cash,8/10/2022 0:00,Emaar Square Mall,2022,8,10,2,0,300.08000000000004,56_plus,bulk,5.684341886080804e-14
I319518,C170183,Female,48,Clothing,5,1500.4,Credit Card,10/24/2022 0:00,Mall of Istanbul,2022,10,24,0,0,300.08000000000004,46_55,bulk,5.684341886080804e-14
I150206,C182334,Female,62,Books,3,45.45,Cash,1/29/2023 0:00,Kanyon,2023,1,29,6,1,15.15,56_plus,small,0
I253011,C904121,Male,31,Shoes,1,600.17,Cash,5/31/2022 0:00,Metrocity,2022,5,31,1,0,600.17,26_35,single,0
I559347,C927838,Male,48,Food & Beverage,1,5.23,Credit Card,12/16/2021 0:00,Metropol AVM,2021,12,16,3,0,5.23,46_55,single,0
I180023,C940298,Female,52,Toys,5,179.2,Cash,8/29/2022 0:00,Istinye Park,2022,8,29,0,0,35.84,46_55,bulk,-7.11E-15
I611868,C280932,Male,44,Cosmetics,5,203.3,Cash,9/24/2021 0:00,Viaport Outlet,2021,9,24,4,0,40.66,36_45,bulk,7.105427357601002e-15
I425066,C274168,Female,42,Shoes,3,1800.51,Cash,7/2/2022 0:00,Emaar Square Mall,2022,7,2,5,1,600.17,36_45,small,0
I872554,C608778,Female,25,Clothing,5,1500.4,Cash,7/2/2022 0:00,Istinye Park,2022,7,2,5,1,300.08000000000004,18_25,bulk,5.684341886080804e-14
I325117,C112044,Female,46,Clothing,3,900.24,Cash,2/27/2022 0:00,Metrocity,2022,2,27,6,1,300.08,46_55,small,0
I170936,C842517,Female,18,Clothing,4,1200.32,Cash,1/29/2023 0:00,Zorlu Center,2023,1,29,6,1,300.08,18_25,bulk,0
I178735,C176124,Male,23,Clothing,3,900.24,Debit Card,4/16/2021 0:00,Emaar Square Mall,2021,4,16,4,0,300.08,18_25,small,0
I123461,C334480,Male,35,Food & Beverage,2,10.46,Cash,12/3/2022 0:00,Cevahir AVM,2022,12,3,5,1,5.23,26_35,small,0
I333306,C205600,Female,64,Food & Beverage,2,10.46,Cash,2/11/2023 0:00,Mall of Istanbul,2023,2,11,5,1,5.23,56_plus,small,0
I261396,C163406,Male,37,Clothing,3,900.24,Credit Card,3/21/2022 0:00,Cevahir AVM,2022,3,21,0,0,300.08,36_45,small,0
I508725,C775811,Female,33,Food & Beverage,4,20.92,Credit Card,3/1/2021 0:00,Mall of Istanbul,2021,3,1,0,0,5.23,26_35,bulk,0
I305327,C413192,Male,64,Food & Beverage,2,10.46,Cash,2/12/2023 0:00,Emaar Square Mall,2023,2,12,6,1,5.23,56_plus,small,0
I249183,C325090,Female,57,Clothing,3,900.24,Credit Card,11/20/2021 0:00,Cevahir AVM,2021,11,20,5,1,300.08,56_plus,small,0
I274383,C474159,Female,67,Cosmetics,4,162.64,Credit Card,1/3/2021 0:00,Metropol AVM,2021,1,3,6,1,40.66,56_plus,bulk,0
I244500,C157777,Female,25,Shoes,3,1800.51,Cash,2/2/2021 0:00,Emaar Square Mall,2021,2,2,1,0,600.17,18_25,small,0
I292571,C370575,Female,43,Clothing,5,1500.4,Cash,3/6/2021 0:00,Viaport Outlet,2021,3,6,5,1,300.08000000000004,36_45,bulk,5.684341886080804e-14
I924636,C163620,Female,68,Food & Beverage,5,26.15,Credit Card,9/20/2021 0:00,Zorlu Center,2021,9,20,0,0,5.23,56_plus,bulk,-8.88E-16
I218327,C162768,Male,29,Souvenir,2,23.46,Credit Card,11/21/2022 0:00,Istinye Park,2022,11,21,0,0,11.73,26_35,small,0
I178939,C159885,Female,37,Food & Beverage,5,26.15,Cash,3/9/2021 0:00,Metrocity,2021,3,9,1,0,5.23,36_45,bulk,-8.88E-16
I334001,C288154,Male,53,Souvenir,1,11.73,Cash,3/4/2021 0:00,Cevahir AVM,2021,3,4,3,0,11.73,46_55,single,0
I163629,C206685,Male,61,Clothing,4,1200.32,Cash,2/23/2022 0:00,Mall of Istanbul,2022,2,23,2,0,300.08,56_plus,bulk,0
I115235,C957467,Female,31,Food & Beverage,2,10.46,Credit Card,11/19/2022 0:00,Emaar Square Mall,2022,11,19,5,1,5.23,26_35,small,0
I184976,C811292,Female,39,Toys,4,143.36,Credit Card,5/24/2021 0:00,Mall of Istanbul,2021,5,24,0,0,35.84,36_45,bulk,0
I170526,C317591,Female,38,Food & Beverage,4,20.92,Cash,6/14/2022 0:00,Kanyon,2022,6,14,1,0,5.23,36_45,bulk,0
I733229,C175408,Female,45,Clothing,5,1500.4,Cash,11/7/2021 0:00,Kanyon,2021,11,7,6,1,300.08000000000004,36_45,bulk,5.684341886080804e-14
I177676,C127187,Female,65,Food & Beverage,1,5.23,Cash,2/11/2023 0:00,Metropol AVM,2023,2,11,5,1,5.23,56_plus,single,0
I721616,C301422,Female,24,Souvenir,5,58.65,Credit Card,8/25/2021 0:00,Viaport Outlet,2021,8,25,2,0,11.73,18_25,bulk,0
I161557,C138950,Male,62,Clothing,5,1500.4,Cash,10/12/2022 0:00,Mall of Istanbul,2022,10,12,2,0,300.08000000000004,56_plus,bulk,5.684341886080804e-14
I130515,C125486,Female,20,Food & Beverage,1,5.23,Cash,9/24/2021 0:00,Kanyon,2021,9,24,4,0,5.23,18_25,single,0
I151604,C217808,Female,37,Clothing,1,300.08,Cash,9/11/2021 0:00,Kanyon,2021,9,11,5,1,300.08,36_45,single,0
I132424,C239106,Female,23,Food & Beverage,5,26.15,Credit Card,8/5/2022 0:00,Kanyon,2022,8,5,4,0,5.23,18_25,bulk,-8.88E-16
I333454,C240942,Male,68,Food & Beverage,4,20.92,Credit Card,5/28/2022 0:00,Forum Istanbul,2022,5,28,5,1,5.23,56_plus,bulk,0
I835759,C334286,Male,46,Cosmetics,1,40.66,Cash,11/13/2022 0:00,Mall of Istanbul,2022,11,13,6,1,40.66,46_55,single,0
I182899,C333689,Female,47,Clothing,5,1500.4,Cash,10/13/2022 0:00,Mall of Istanbul,2022,10,13,3,0,300.08000000000004,46_55,bulk,5.684341886080804e-14
I102194,C328882,Female,63,Toys,4,143.36,Debit Card,10/27/2021 0:00,Mall of Istanbul,2021,10,27,2,0,35.84,56_plus,bulk,0
I157393,C293089,Male,60,Toys,4,143.36,Cash,3/11/2022 0:00,Kanyon,2022,3,11,4,0,35.84,56_plus,bulk,0
I197469,C186472,Female,64,Cosmetics,1,40.66,Debit Card,1/17/2022 0:00,Cevahir AVM,2022,1,17,0,0,40.66,56_plus,single,0
I244673,C263263,Male,53,Technology,3,3150,Debit Card,5/3/2022 0:00,Metropol AVM,2022,5,3,1,0,1050,46_55,small,0
I145319,C631621,Male,47,Technology,4,4200,Cash,3/11/2021 0:00,Kanyon,2021,3,11,3,0,1050,46_55,bulk,0
I545664,C876866,Female,39,Books,1,15.15,Credit Card,1/6/2023 0:00,Metropol AVM,2023,1,6,4,0,15.15,36_45,single,0
I859500,C274514,Female,19,Toys,5,179.2,Credit Card,1/18/2022 0:00,Cevahir AVM,2022,1,18,1,0,35.84,18_25,bulk,-7.11E-15
I453370,C277775,Male,41,Cosmetics,3,121.98,Credit Card,10/12/2022 0:00,Mall of Istanbul,2022,10,12,2,0,40.66,36_45,small,7.105427357601002e-15
I145992,C296884,Female,37,Food & Beverage,4,20.92,Debit Card,7/7/2022 0:00,Metrocity,2022,7,7,3,0,5.23,36_45,bulk,0
I263775,C318560,Female,25,Cosmetics,5,203.3,Credit Card,2/14/2023 0:00,Cevahir AVM,2023,2,14,1,0,40.66,18_25,bulk,7.105427357601002e-15
I140135,C253649,Male,64,Clothing,4,1200.32,Cash,3/26/2022 0:00,Kanyon,2022,3,26,5,1,300.08,56_plus,bulk,0
I303800,C203949,Female,53,Souvenir,1,11.73,Debit Card,6/9/2021 0:00,Mall of Istanbul,2021,6,9,2,0,11.73,46_55,single,0
I381826,C148238,Male,22,Cosmetics,1,40.66,Credit Card,1/17/2023 0:00,Mall of Istanbul,2023,1,17,1,0,40.66,18_25,single,0
I232276,C266929,Male,68,Cosmetics,2,81.32,Credit Card,5/15/2022 0:00,Cevahir AVM,2022,5,15,6,1,40.66,56_plus,small,0
I997072,C114891,Male,47,Toys,5,179.2,Cash,4/10/2021 0:00,Metropol AVM,2021,4,10,5,1,35.84,46_55,bulk,-7.11E-15
I152545,C161718,Female,44,Clothing,4,1200.32,Cash,7/5/2022 0:00,Cevahir AVM,2022,7,5,1,0,300.08,36_45,bulk,0
I311335,C150920,Male,51,Clothing,3,900.24,Cash,3/7/2021 0:00,Kanyon,2021,3,7,6,1,300.08,46_55,small,0
I143985,C123408,Female,62,Shoes,2,1200.34,Credit Card,10/20/2021 0:00,Zorlu Center,2021,10,20,2,0,600.17,56_plus,small,0
I178248,C495774,Male,35,Clothing,2,600.16,Credit Card,1/14/2021 0:00,Cevahir AVM,2021,1,14,3,0,300.08,26_35,small,0
I186318,C777068,Female,28,Clothing,1,300.08,Debit Card,4/19/2021 0:00,Forum Istanbul,2021,4,19,0,0,300.08,26_35,single,0
I302188,C306593,Male,63,Clothing,1,300.08,Cash,3/28/2022 0:00,Mall of Istanbul,2022,3,28,0,0,300.08,56_plus,single,0
I314309,C205372,Male,36,Cosmetics,1,40.66,Cash,6/29/2022 0:00,Mall of Istanbul,2022,6,29,2,0,40.66,36_45,single,0
I112052,C856387,Male,69,Food & Beverage,5,26.15,Credit Card,6/20/2022 0:00,Emaar Square Mall,2022,6,20,0,0,5.23,56_plus,bulk,-8.88E-16
I157454,C587144,Male,58,Clothing,1,300.08,Cash,8/29/2022 0:00,Viaport Outlet,2022,8,29,0,0,300.08,56_plus,single,0
I745252,C153427,Female,27,Clothing,3,900.24,Credit Card,6/16/2022 0:00,Istinye Park,2022,6,16,3,0,300.08,26_35,small,0
I253596,C177601,Female,33,Clothing,5,1500.4,Debit Card,3/11/2021 0:00,Metropol AVM,2021,3,11,3,0,300.08000000000004,26_35,bulk,5.684341886080804e-14
I232603,C156334,Female,51,Food & Beverage,4,20.92,Debit Card,1/18/2023 0:00,Istinye Park,2023,1,18,2,0,5.23,46_55,bulk,0
I182741,C940548,Male,25,Clothing,3,900.24,Credit Card,6/9/2022 0:00,Metrocity,2022,6,9,3,0,300.08,18_25,small,0
I120124,C116735,Male,19,Clothing,3,900.24,Cash,7/6/2021 0:00,Cevahir AVM,2021,7,6,1,0,300.08,18_25,small,0
I191132,C189299,Female,42,Cosmetics,1,40.66,Cash,9/29/2021 0:00,Metropol AVM,2021,9,29,2,0,40.66,36_45,single,0
I709615,C941442,Male,30,Clothing,2,600.16,Cash,10/15/2021 0:00,Emaar Square Mall,2021,10,15,4,0,300.08,26_35,small,0
I933622,C495816,Female,35,Clothing,5,1500.4,Credit Card,6/23/2021 0:00,Cevahir AVM,2021,6,23,2,0,300.08000000000004,26_35,bulk,5.684341886080804e-14
I156284,C365092,Female,27,Clothing,5,1500.4,Credit Card,12/28/2021 0:00,Metropol AVM,2021,12,28,1,0,300.08000000000004,26_35,bulk,5.684341886080804e-14
I104113,C152506,Male,66,Shoes,4,2400.68,Cash,9/17/2022 0:00,Istinye Park,2022,9,17,5,1,600.17,56_plus,bulk,0
I159630,C104852,Male,42,Cosmetics,5,203.3,Credit Card,3/7/2023 0:00,Metrocity,2023,3,7,1,0,40.66,36_45,bulk,7.105427357601002e-15
I203644,C143052,Female,19,Technology,3,3150,Cash,5/7/2022 0:00,Viaport Outlet,2022,5,7,5,1,1050,18_25,small,0
I249528,C891204,Female,20,Food & Beverage,4,20.92,Debit Card,1/10/2021 0:00,Kanyon,2021,1,10,6,1,5.23,18_25,bulk,0
I340237,C807644,Male,63,Clothing,2,600.16,Cash,12/31/2021 0:00,Metrocity,2021,12,31,4,0,300.08,56_plus,small,0
I193368,C153156,Male,59,Technology,3,3150,Cash,10/11/2022 0:00,Metropol AVM,2022,10,11,1,0,1050,56_plus,small,0
I256010,C177136,Male,68,Toys,1,35.84,Cash,2/20/2023 0:00,Istinye Park,2023,2,20,0,0,35.84,56_plus,single,0
I700893,C135897,Female,38,Souvenir,2,23.46,Debit Card,9/21/2021 0:00,Kanyon,2021,9,21,1,0,11.73,36_45,small,0
I943072,C358486,Female,52,Cosmetics,2,81.32,Cash,2/3/2022 0:00,Metrocity,2022,2,3,3,0,40.66,46_55,small,0
I238475,C317299,Female,40,Cosmetics,2,81.32,Credit Card,4/29/2021 0:00,Metrocity,2021,4,29,3,0,40.66,36_45,small,0
I202393,C236377,Male,57,Toys,4,143.36,Credit Card,1/2/2022 0:00,Metrocity,2022,1,2,6,1,35.84,56_plus,bulk,0
I501012,C175198,Female,62,Shoes,5,3000.85,Cash,2/22/2021 0:00,Kanyon,2021,2,22,0,0,600.17,56_plus,bulk,0
I269007,C196825,Male,65,Souvenir,5,58.65,Credit Card,6/29/2021 0:00,Metropol AVM,2021,6,29,1,0,11.73,56_plus,bulk,0
I877397,C272756,Male,25,Shoes,5,3000.85,Cash,10/9/2022 0:00,Kanyon,2022,10,9,6,1,600.17,18_25,bulk,0
I673132,C158522,Female,69,Clothing,5,1500.4,Cash,11/29/2022 0:00,Kanyon,2022,11,29,1,0,300.08000000000004,56_plus,bulk,5.684341886080804e-14
I150831,C219140,Female,68,Clothing,5,1500.4,Cash,7/13/2021 0:00,Metrocity,2021,7,13,1,0,300.08000000000004,56_plus,bulk,5.684341886080804e-14
I136452,C322652,Female,35,Food & Beverage,5,26.15,Cash,11/1/2021 0:00,Metrocity,2021,11,1,0,0,5.23,26_35,bulk,-8.88E-16
I687959,C201180,Female,43,Clothing,5,1500.4,Cash,1/18/2021 0:00,Kanyon,2021,1,18,0,0,300.08000000000004,36_45,bulk,5.684341886080804e-14
I251584,C323038,Male,64,Souvenir,3,35.19,Debit Card,6/25/2021 0:00,Forum Istanbul,2021,6,25,4,0,11.73,56_plus,small,-1.78E-15
I770372,C759064,Male,22,Cosmetics,4,162.64,Cash,7/19/2022 0:00,Metrocity,2022,7,19,1,0,40.66,18_25,bulk,0
I299755,C418156,Male,63,Clothing,3,900.24,Cash,9/2/2021 0:00,Cevahir AVM,2021,9,2,3,0,300.08,56_plus,small,0
I296057,C217852,Female,38,Food & Beverage,4,20.92,Cash,6/24/2021 0:00,Kanyon,2021,6,24,3,0,5.23,36_45,bulk,0
I174053,C485136,Male,56,Toys,3,107.52,Credit Card,8/26/2021 0:00,Kanyon,2021,8,26,3,0,35.84,56_plus,small,-7.11E-15
I255370,C231914,Female,40,Cosmetics,2,81.32,Cash,12/7/2021 0:00,Emaar Square Mall,2021,12,7,1,0,40.66,36_45,small,0
I654585,C305390,Male,26,Shoes,2,1200.34,Debit Card,2/8/2023 0:00,Emaar Square Mall,2023,2,8,2,0,600.17,26_35,small,0
I423946,C132570,Female,43,Toys,5,179.2,Credit Card,2/5/2023 0:00,Cevahir AVM,2023,2,5,6,1,35.84,36_45,bulk,-7.11E-15
I328998,C285303,Female,33,Food & Beverage,3,15.69,Debit Card,6/3/2021 0:00,Metropol AVM,2021,6,3,3,0,5.23,26_35,small,-8.88E-16
I336065,C306388,Male,61,Clothing,3,900.24,Cash,2/26/2021 0:00,Istinye Park,2021,2,26,4,0,300.08,56_plus,small,0
I114259,C271566,Male,38,Clothing,4,1200.32,Cash,4/15/2021 0:00,Viaport Outlet,2021,4,15,3,0,300.08,36_45,bulk,0
I215271,C260448,Female,53,Clothing,2,600.16,Credit Card,4/28/2022 0:00,Kanyon,2022,4,28,3,0,300.08,46_55,small,0
I326699,C100297,Male,39,Cosmetics,3,121.98,Debit Card,9/12/2022 0:00,Metrocity,2022,9,12,0,0,40.66,36_45,small,7.105427357601002e-15
I166604,C293242,Male,25,Technology,1,1050,Credit Card,3/28/2022 0:00,Forum Istanbul,2022,3,28,0,0,1050,18_25,single,0
I136211,C194128,Female,34,Toys,1,35.84,Debit Card,3/17/2021 0:00,Metropol AVM,2021,3,17,2,0,35.84,26_35,single,0
I673088,C256582,Female,49,Clothing,2,600.16,Debit Card,1/27/2023 0:00,Forum Istanbul,2023,1,27,4,0,300.08,46_55,small,0
I133072,C274080,Male,33,Souvenir,3,35.19,Cash,1/30/2023 0:00,Zorlu Center,2023,1,30,0,0,11.73,26_35,small,-1.78E-15
I551572,C330253,Male,53,Cosmetics,5,203.3,Cash,2/28/2023 0:00,Emaar Square Mall,2023,2,28,1,0,40.66,46_55,bulk,7.105427357601002e-15
I281106,C971829,Female,22,Cosmetics,1,40.66,Debit Card,4/10/2022 0:00,Mall of Istanbul,2022,4,10,6,1,40.66,18_25,single,0
I332326,C499205,Female,49,Clothing,4,1200.32,Credit Card,8/18/2021 0:00,Istinye Park,2021,8,18,2,0,300.08,46_55,bulk,0
I201202,C333528,Male,50,Cosmetics,2,81.32,Cash,12/25/2021 0:00,Kanyon,2021,12,25,5,1,40.66,46_55,small,0
I280174,C333530,Male,63,Shoes,4,2400.68,Debit Card,12/5/2022 0:00,Metrocity,2022,12,5,0,0,600.17,56_plus,bulk,0
I943576,C189296,Female,63,Food & Beverage,3,15.69,Cash,6/28/2022 0:00,Metrocity,2022,6,28,1,0,5.23,56_plus,small,-8.88E-16
I259781,C262315,Female,60,Clothing,2,600.16,Credit Card,4/13/2022 0:00,Kanyon,2022,4,13,2,0,300.08,56_plus,small,0
I137118,C179179,Male,52,Toys,2,71.68,Credit Card,7/15/2021 0:00,Kanyon,2021,7,15,3,0,35.84,46_55,small,0
I107436,C156832,Female,27,Cosmetics,4,162.64,Cash,11/26/2021 0:00,Istinye Park,2021,11,26,4,0,40.66,26_35,bulk,0
I511462,C327860,Male,32,Cosmetics,3,121.98,Credit Card,5/5/2021 0:00,Metrocity,2021,5,5,2,0,40.66,26_35,small,7.105427357601002e-15
I244711,C180375,Female,55,Clothing,4,1200.32,Cash,11/21/2021 0:00,Mall of Istanbul,2021,11,21,6,1,300.08,46_55,bulk,0
I173395,C249924,Male,40,Clothing,2,600.16,Credit Card,6/28/2022 0:00,Metrocity,2022,6,28,1,0,300.08,36_45,small,0
I114880,C881426,Female,62,Food & Beverage,1,5.23,Debit Card,2/23/2022 0:00,Cevahir AVM,2022,2,23,2,0,5.23,56_plus,single,0
I312444,C206992,Female,58,Clothing,4,1200.32,Debit Card,7/22/2021 0:00,Mall of Istanbul,2021,7,22,3,0,300.08,56_plus,bulk,0
I301816,C927012,Female,19,Clothing,1,300.08,Credit Card,12/17/2021 0:00,Cevahir AVM,2021,12,17,4,0,300.08,18_25,single,0
I237321,C253365,Female,56,Food & Beverage,1,5.23,Cash,10/21/2021 0:00,Mall of Istanbul,2021,10,21,3,0,5.23,56_plus,single,0
I796890,C165098,Male,34,Food & Beverage,5,26.15,Credit Card,3/7/2022 0:00,Viaport Outlet,2022,3,7,0,0,5.23,26_35,bulk,-8.88E-16
I872237,C583741,Female,48,Cosmetics,2,81.32,Debit Card,1/23/2023 0:00,Mall of Istanbul,2023,1,23,0,0,40.66,46_55,small,0
I627422,C172310,Male,48,Food & Beverage,5,26.15,Debit Card,12/16/2021 0:00,Istinye Park,2021,12,16,3,0,5.23,46_55,bulk,-8.88E-16
I329257,C113382,Male,62,Toys,3,107.52,Credit Card,9/19/2022 0:00,Mall of Istanbul,2022,9,19,0,0,35.84,56_plus,small,-7.11E-15
I305096,C217693,Male,18,Toys,3,107.52,Cash,12/4/2022 0:00,Istinye Park,2022,12,4,6,1,35.84,18_25,small,-7.11E-15
I219667,C290353,Female,31,Toys,1,35.84,Credit Card,10/31/2021 0:00,Metrocity,2021,10,31,6,1,35.84,26_35,single,0
I316691,C733216,Male,63,Books,3,45.45,Debit Card,3/5/2021 0:00,Forum Istanbul,2021,3,5,4,0,15.15,56_plus,small,0
I344679,C259291,Female,51,Clothing,5,1500.4,Credit Card,10/29/2022 0:00,Mall of Istanbul,2022,10,29,5,1,300.08000000000004,46_55,bulk,5.684341886080804e-14
I463729,C526898,Male,53,Technology,3,3150,Cash,5/18/2022 0:00,Viaport Outlet,2022,5,18,2,0,1050,46_55,small,0
I322976,C227009,Female,32,Food & Beverage,1,5.23,Cash,3/11/2022 0:00,Mall of Istanbul,2022,3,11,4,0,5.23,26_35,single,0
I191314,C233416,Female,59,Clothing,3,900.24,Debit Card,8/24/2022 0:00,Mall of Istanbul,2022,8,24,2,0,300.08,56_plus,small,0
I144309,C278250,Female,48,Cosmetics,2,81.32,Cash,8/2/2022 0:00,Istinye Park,2022,8,2,1,0,40.66,46_55,small,0
I333125,C760608,Male,69,Souvenir,2,23.46,Cash,3/4/2021 0:00,Istinye Park,2021,3,4,3,0,11.73,56_plus,small,0
I267695,C107828,Female,54,Clothing,3,900.24,Cash,9/10/2021 0:00,Metrocity,2021,9,10,4,0,300.08,46_55,small,0
I256958,C230309,Female,40,Technology,2,2100,Cash,1/31/2021 0:00,Istinye Park,2021,1,31,6,1,1050,36_45,small,0
I434070,C129631,Female,28,Toys,4,143.36,Cash,9/22/2022 0:00,Kanyon,2022,9,22,3,0,35.84,26_35,bulk,0
I254527,C134688,Male,34,Cosmetics,4,162.64,Cash,1/30/2022 0:00,Mall of Istanbul,2022,1,30,6,1,40.66,26_35,bulk,0
I233645,C927125,Male,46,Clothing,1,300.08,Cash,6/26/2022 0:00,Kanyon,2022,6,26,6,1,300.08,46_55,single,0
I237028,C104514,Female,37,Clothing,3,900.24,Credit Card,3/10/2021 0:00,Viaport Outlet,2021,3,10,2,0,300.08,36_45,small,0
I809673,C506591,Male,36,Clothing,4,1200.32,Debit Card,7/25/2021 0:00,Metropol AVM,2021,7,25,6,1,300.08,36_45,bulk,0
I437672,C279462,Female,57,Shoes,1,600.17,Credit Card,2/12/2021 0:00,Metrocity,2021,2,12,4,0,600.17,56_plus,single,0
I959689,C306875,Female,58,Food & Beverage,4,20.92,Debit Card,9/17/2022 0:00,Metrocity,2022,9,17,5,1,5.23,56_plus,bulk,0
I246024,C281104,Female,24,Shoes,1,600.17,Credit Card,7/22/2022 0:00,Forum Istanbul,2022,7,22,4,0,600.17,18_25,single,0
